frame,energy,REF_energy
0,-687.7866275927829,-687.8045677835
1,-690.1202595274923,-690.0247684425
2,-689.385228964256,-689.2969818597
3,-688.4557279905106,-688.4747403141668
4,-691.586264731788,-691.5972195472727
5,-689.6717648524067,-689.6882414466667
6,-687.1528031711613,-687.0538311286957
7,-687.3609909675293,-687.3604200354999
8,-690.5347561483179,-690.4767023378572
9,-692.4627086442556,-692.3026005296
10,-697.3259464404564,-697.3121485807143
11,-697.4213474406228,-697.4200531866667
12,-697.3611968587393,-697.3584224966667
13,-697.3720963856266,-697.3421384928571
14,-697.5023323388394,-697.500882757
15,-697.3877178967465,-697.4018318964
16,-697.2885314427374,-697.277519767
17,-697.3306842208877,-697.2835996638333
18,-697.453711987068,-697.4589819925
19,-697.5376218113408,-697.531480926875
20,-697.5313745860431,-697.530529531125
21,-697.5681583461177,-697.569515059875
22,-697.5568786255321,-697.5558571729166
23,-697.5419099377177,-697.5442245099999
24,-697.6146464302649,-697.611902348875
25,-697.5603825363369,-697.5630782116666
26,-697.5084799111683,-697.5112194208333
27,-697.5069032237062,-697.5137336470833
28,-697.5792750849791,-697.57891894875
29,-697.6203115714262,-697.621120727
30,-697.5398509771167,-697.543192925
31,-697.5968282898373,-697.599502226875
32,-697.5793457879583,-697.5769588413
33,-697.5694014847793,-697.57164163475
34,-697.6231465493244,-697.6241723218571
35,-697.5962199599836,-697.5968395911667
36,-697.5449046872922,-697.530807185125
37,-697.5378046305113,-697.5370944121668
38,-697.6094249550522,-697.609785532375
39,-697.6407517214026,-697.6412127073332
40,-697.5493084227321,-697.5501870269001
41,-697.6076965496427,-697.61066317675
42,-697.587816648535,-697.5875274188888
43,-697.5739952754411,-697.5734915310527
44,-697.6302274886699,-697.6309931553333
45,-697.6080755829158,-697.604233635125
46,-697.5298649000839,-697.5364867483571
47,-697.5398926828435,-697.5382354796667
48,-697.6230687745777,-697.6236835436666
49,-697.6413658445853,-697.6414753258571
50,-697.5486548017176,-697.54751116525
51,-697.5853697621433,-697.585624872375
52,-697.57112832583,-697.5711656888334
53,-697.551881855267,-697.552832527125
54,-697.6318544285126,-697.6335709860833
55,-697.5816076895308,-697.58142422125
56,-697.5601881729841,-697.5321365083333
57,-697.5386314468187,-697.539676608
58,-697.6106780214219,-697.6105045511667
59,-697.6413681765752,-697.6406523733334
60,-697.5524699094626,-697.5494714065
61,-697.6099627606609,-697.6100657342142
62,-697.5875216992484,-697.5873908374999
63,-697.5767989145226,-697.576664175
64,-697.6413064945642,-697.6413247596666
65,-697.6063761995896,-697.60640240125
66,-697.5340108298984,-697.5383655961667
67,-697.5349199271482,-697.541143941
68,-697.6250062898464,-697.6246423548572
69,-697.6535885181302,-697.651549894625
70,-697.5370132436807,-697.534677463375
71,-697.6084111052407,-697.607804255125
72,-697.5722035959412,-697.5620206089999
73,-697.5661545477274,-697.5541744365
74,-697.6386383966901,-697.6384920176666
75,-697.6009463076367,-697.5993669389167
76,-697.5141325246079,-697.509772279625
77,-697.5467249458129,-697.5139761766667
78,-697.620653342036,-697.62156579675
79,-697.6415681888164,-697.6417710170834
80,-697.5364233115264,-697.5322937825
81,-697.5638619945629,-697.5622792502
82,-697.5590504343892,-697.554339901375
83,-697.5471763735044,-697.5475401525
84,-697.6287795933315,-697.626248987125
85,-697.5664572803626,-697.55716189775
86,-697.5079399009985,-697.50660440775
87,-697.5021868796975,-697.5092956627143
88,-697.5884331178514,-697.586908886
89,-697.6409645810554,-697.6408013543333
90,-697.5561792762169,-697.555478646375
91,-697.6102553677307,-697.605808829
92,-697.5925418920051,-697.5932366295
93,-697.5665049036911,-697.56502116175
94,-697.6368853974983,-697.6312666364444
95,-697.6028135963894,-697.60173746675
96,-697.5488361823752,-697.54636497725
97,-697.5473894903407,-697.5473712171666
98,-697.615690977868,-697.61638566725
99,-697.6350283043529,-697.6389502435
100,-697.5404123728011,-697.5362662698334
101,-697.591573250755,-697.5917100820833
102,-697.5569359579425,-697.55726719225
103,-697.5524612798126,-697.5527166417143
104,-697.6210185064965,-697.6206200935
105,-697.5929456445323,-697.5877542427858
106,-697.536973742337,-697.5296487078334
107,-697.5524573676977,-697.5307340281666
108,-697.6124027346589,-697.6038076745
109,-697.6390998966754,-697.64008447275
110,-697.5463165921241,-697.544013577375
111,-697.5948168998957,-697.5949342036666
112,-697.5698614612257,-697.5733533803333
113,-697.5781425218097,-697.565654399
114,-697.6309115202184,-697.627887177125
115,-697.5944808299543,-697.5938734026666
116,-697.5375441268753,-697.5314440249999
117,-697.5257220604739,-697.5351916870833
118,-697.6115982129274,-697.612221598
119,-697.6344116520377,-697.63570637875
120,-697.5565500359106,-697.553648878125
121,-697.6130508007633,-697.613259246
122,-697.5883374873027,-697.59098989525
123,-697.5801919562876,-697.5788562413333
124,-697.6408499024233,-697.6412647345
125,-697.61353729488,-697.61049215875
126,-697.5418629196065,-697.541472401875
127,-697.5465818688817,-697.5457740236842
128,-697.6239299475833,-697.624254271
129,-697.6431130708177,-697.649521463
130,-697.5439507498927,-697.5457097720999
131,-697.5960642872459,-697.604868090875
132,-697.5772791738559,-697.5804099271667
133,-697.5716733374871,-697.5626399933334
134,-697.636412869735,-697.636714676125
135,-697.6009602019067,-697.602632185
136,-697.5457230078929,-697.54149862375
137,-697.5375319458307,-697.5417631619999
138,-697.6259454918509,-697.623485641375
139,-697.6414638837554,-697.6433893906666
140,-697.5439461451937,-697.54428789275
141,-697.6010462311925,-697.602050474
142,-697.5777410321393,-697.57692304275
143,-697.5631681833528,-697.5527039815834
144,-697.6414650992599,-697.6414448816
145,-697.594598870083,-697.5928808875
146,-697.5185128310767,-697.5244286529
147,-697.5390052375739,-697.5384325221429
148,-697.6182852062805,-697.6142370403
149,-697.6711526294893,-697.670743261
150,-697.5406133511268,-697.5345375711667
151,-697.597244948444,-697.59827653975
152,-697.5482326680691,-697.55800785125
153,-697.5463351097533,-697.548752969
154,-697.6294727573298,-697.6288705151666
155,-697.593036204542,-697.59264815275
156,-697.5268156228475,-697.52613965125
157,-697.5263831248925,-697.5292219529091
158,-697.6153667686373,-697.61227431175
159,-697.6415768647688,-697.6399925344999
160,-697.547994124022,-697.5493527833333
161,-697.5957524436175,-697.595259118125
162,-697.5712368670938,-697.5706011138333
163,-697.5586119760668,-697.5585278086666
164,-697.6251503271437,-697.6273251645
165,-697.5909900343072,-697.59041257375
166,-697.5317639596243,-697.5313033245001
167,-697.5418344644125,-697.5377495336667
168,-697.6050553559575,-697.60733976875
169,-697.6454398286637,-697.6404335709167
170,-697.5494847411989,-697.549208823375
171,-697.5962847404866,-697.5970842564999
172,-697.5728379123238,-697.5686418776667
173,-697.5620548700733,-697.5570037148889
174,-697.6371398422192,-697.6377577080833
175,-697.5953855956178,-697.5951399927777
176,-697.5426152936706,-697.5421482871667
177,-697.543500894363,-697.543157404875
178,-697.620353719185,-697.62107301225
179,-697.641787383859,-697.6424465945
180,-697.5507785293265,-697.5532298043332
181,-697.5973979352204,-697.596995492381
182,-697.5769656715775,-697.578898225
183,-697.5701627604785,-697.5708635490834
184,-697.6298195621425,-697.631971311875
185,-697.5940782158083,-697.5939607541667
186,-697.5375430318994,-697.5389821260001
187,-697.5470561615517,-697.5416830971667
188,-697.6098308506612,-697.610900893125
