frame,atom,fx,fy,fz,REF_fx,REF_fy,REF_fz
0,0,2.60124327,-11.88196919,3.34061988,2.24392,-11.8321,3.00765
0,1,6.87866545,4.84396052,-9.39827681,6.67505,4.40717,-9.49211
0,2,-12.12082794,3.45971851,0.47266747,-11.96785,3.29383,0.03664
0,3,7.46472478,-5.23475847,0.80098765,7.77097,-5.30043,0.64281
0,4,0.58577214,7.99246265,-4.42086344,0.38445,8.25081,-4.54659
0,5,-7.20245289,-1.60863505,5.41327401,-7.35547,-1.86658,5.59541
0,6,10.61558939,-9.22621117,-15.06722457,11.16059,-8.95465,-15.18812
0,7,-12.52429598,7.24591094,-14.67912899,-12.89834,7.70091,-14.48282
0,8,-11.9451879,-16.79128247,0.44773174,-11.84645,-17.15213,0.94308
0,9,-8.73371054,2.41808571,-17.37797118,-9.53055,2.69263,-17.79935
0,10,-13.47744724,-13.29697335,-5.06609321,-13.71804,-14.20509,-4.99283
0,11,4.88496028,-12.59727882,-14.19735238,5.38219,-12.69565,-14.99171
0,12,0.68055171,15.05436782,9.97609865,0.57471,14.55711,10.14296
0,13,2.44712603,1.46707097,17.8457914,2.82205,1.47194,17.46386
0,14,14.1849654,6.93668099,8.79141757,13.74099,7.19178,8.6361
0,15,-6.075996,14.37326585,13.30432754,-5.47592,14.60864,13.86703
0,16,7.60023954,-4.01409476,18.61820592,7.81782,-3.319,19.06719
0,17,15.52567167,12.74257568,4.13459174,15.57371,12.9851,4.95379
0,18,-6.68093674,-9.05239966,-14.12894171,-6.72598,-9.11333,-14.22407
0,19,5.29134556,7.1695033,11.19013871,5.37217,7.27904,11.36109
1,0,1.00888146,-7.93281986,9.3218551,0.63046,-7.67403,9.05699
1,1,1.00888146,7.93281986,-9.3218551,0.63046,7.67403,-9.05699
1,2,-1.00888146,7.93281986,-9.3218551,-0.63046,7.67403,-9.05699
1,3,-1.00888146,-7.93281986,9.3218551,-0.63046,-7.67403,9.057
1,4,2.67004731,-9.04131052,-3.95087078,2.69069,-8.23482,-3.57569
1,5,2.67004731,9.04131052,3.95087078,2.69069,8.23482,3.57569
1,6,-2.67004731,9.04131052,3.95087078,-2.69069,8.23482,3.57569
1,7,-2.67004731,-9.04131052,-3.95087078,-2.69068,-8.23482,-3.57569
1,8,2.53413732,3.1750972,1.82550395,2.31734,2.73911,1.15447
1,9,2.53413732,-3.1750972,-1.82550395,2.31735,-2.73911,-1.15446
1,10,-2.53413732,-3.1750972,-1.82550395,-2.31735,-2.73911,-1.15447
1,11,-2.53413732,3.1750972,1.82550395,-2.31735,2.73911,1.15447
1,12,-2.595575,7.4336009,0.80274293,-2.56649,7.37509,0.88671
1,13,-2.595575,-7.4336009,-0.80274293,-2.56649,-7.37509,-0.88672
1,14,2.595575,-7.4336009,-0.80274293,2.56649,-7.3751,-0.88671
1,15,2.595575,7.4336009,0.80274293,2.56649,7.3751,0.88671
1,16,-4.83408872,-10.210955,11.91508317,-4.67588,-10.57372,11.32013
1,17,-4.83408872,10.210955,-11.91508317,-4.67588,10.57372,-11.32014
1,18,4.83408872,10.210955,-11.91508317,4.67588,10.57372,-11.32014
1,19,4.83408872,-10.210955,11.91508317,4.67588,-10.57373,11.32014
1,20,-3.42191935,-0.14411433,-7.00049974,-3.26266,-0.08438,-7.25683
1,21,-3.42191935,0.14411433,7.00049974,-3.26265,0.08437,7.25683
1,22,3.42191935,0.14411433,7.00049974,3.26265,0.08437,7.25683
1,23,3.42191935,-0.14411433,-7.00049974,3.26265,-0.08438,-7.25684
2,0,1.94910781,4.57166005,-15.225747,2.19263,4.62135,-15.39677
2,1,-1.94910781,-4.57166005,-15.225747,-2.19262,-4.62136,-15.39679
2,2,-1.94902506,4.57164443,-15.22579549,-2.18282,4.62299,-15.39605
2,3,1.94902506,-4.57164443,-15.22579549,2.18282,-4.62299,-15.39604
2,4,3.04476181,16.64349487,13.71711627,2.98647,16.26594,14.11092
2,5,-3.04476181,-16.64349487,13.71711627,-2.98647,-16.26595,14.11092
2,6,-3.04457468,16.64348899,13.71708502,-3.00315,16.25684,14.10432
2,7,3.04457468,-16.64348899,13.71708502,3.00315,-16.25684,14.10432
2,8,9.38729609,1.956e-05,3.0173412,10.09797,-0.00214,2.57757
2,9,-9.38729609,-1.956e-05,3.0173412,-10.09797,0.00214,2.57759
3,0,6.23246285,1.6656322,-1.52185258,6.05349,1.79771,-1.37848
3,1,6.23246285,1.6656322,1.52185258,6.05348,1.79771,1.37847
3,2,0.62765447,-3.12667682,18.07572597,0.3561,-2.95533,18.46713
3,3,0.62765447,-3.12667682,-18.07572597,0.3561,-2.95533,-18.46712
3,4,-4.34238329,5.80835118,9.42490753,-4.2867,5.73536,9.30866
3,5,-4.34238329,5.80835118,-9.42490753,-4.2867,5.73536,-9.30867
3,6,-10.38754146,-16.53284319,9.55230256,-10.20288,-16.27028,9.42022
3,7,-10.38754146,-16.53284319,-9.55230256,-10.20288,-16.27027,-9.42021
3,8,15.03808475,-5.04115764,-4.06601689,15.09114,-5.14067,-4.06586
3,9,15.03808475,-5.04115764,4.06601689,15.09114,-5.14066,4.06585
3,10,-10.51303823,8.68985484,12.08246747,-10.19928,8.64716,11.70072
3,11,-10.51303823,8.68985484,-12.08246747,-10.19928,8.64717,-11.70072
3,12,-14.80987557,10.63090732,1.18418477,-14.31137,10.5265,0.87081
3,13,-14.80987557,10.63090732,-1.18418477,-14.31136,10.5265,-0.87082
3,14,-15.96362577,1.91975349,9.64604821,-15.70253,2.25464,9.55506
3,15,-15.96362577,1.91975349,-9.64604821,-15.70254,2.25464,-9.55506
3,16,15.20942821,-2.53837076,10.28972112,14.61395,-2.49419,10.62189
3,17,15.20942821,-2.53837076,-10.28972112,14.61394,-2.49417,-10.62189
3,18,6.86147881,-8.9436974,18.50556736,7.13244,-8.91349,17.68509
3,19,6.86147881,-8.9436974,-18.50556736,7.13243,-8.91349,-17.68508
3,20,8.48766974,-3.51272577,-20.32306262,7.85735,-3.9575,-20.13376
3,21,8.48766974,-3.51272577,20.32306262,7.85735,-3.95749,20.13376
3,22,3.55968549,10.98097255,-16.31640219,3.5983,10.77005,-16.31966
3,23,3.55968549,10.98097255,16.31640219,3.5983,10.77006,16.31967
4,0,-5.47404054,-0.49122007,3.28745885,-5.64992,-0.257,4.02046
4,1,-1.73606877,5.01824802,3.58002399,-2.44754,5.34105,3.69248
4,2,5.27417831,-3.53301768,-0.84456868,5.87402,-3.43924,-1.34871
4,3,1.9358705,-0.99368864,-6.02311689,2.22344,-1.64484,-6.36417
4,4,-3.74253482,5.412613,1.18930628,-3.37051,4.76729,1.2329
4,5,-3.44725776,-0.89840049,5.65933844,-3.18015,-0.65439,5.00657
4,6,0.68874953,-3.8230619,-5.44311348,0.79241,-3.3599,-4.86729
4,7,6.5010486,-0.69142444,-1.40535503,5.75825,-0.75298,-1.37223
4,8,-0.16696341,0.10486757,0.15909749,-0.47513,0.29832,0.45255
4,9,0.16699865,-0.10491935,-0.15906367,0.47513,-0.2983,-0.45257
4,10,1.969e-05,3.99e-06,-7.31e-06,0.0,-0.0,-0.0
5,0,-5.08334626,14.67464277,9.02377488,-4.43783,15.0339,8.94568
5,1,-5.08299248,0.47748003,-17.22052934,-4.43719,0.23412,-17.49373
5,2,-5.08328706,-15.15206515,8.19655764,-4.43878,-15.2644,8.5474
5,3,6.68717426,-1.55370563,-2.3532085,7.13434,-1.66329,-1.90381
5,4,6.68675916,-1.26078615,2.52221805,7.12972,-0.81644,2.39228
5,5,6.68720838,2.81474598,-0.16918326,7.13275,2.48008,-0.48978
5,6,-11.39129578,-12.794696,-5.45947198,-11.53177,-13.11091,-5.26302
5,7,-11.39103167,1.66929775,13.81048587,-11.53313,1.99609,13.98816
5,8,-11.39085004,11.12520525,-8.35084192,-11.53082,11.11232,-8.72486
