frame,energy_per_atom,REF_energy_per_atom,volume,lattice
0,,-695.12685957,8000,20 0 0 0 20 0 0 0 20
1,,-692.271853792,104.884444478,3.80711 0 0 -1.903555 4.367246 0 0 -0.590778 6.308237
2,,-688.208058283,86.770154423,3.80037 0 0 -1.900185 3.291217 0 0 0 6.93726
3,,-685.974960268,148.360401803,5.53335 0 0 0 5.56416 0 0 -2.78208 4.818704
4,,-685.423669579,115.005863734,4.07378 0 0 -2.03689 3.527997 0 0 0 8.00192
5,,-688.262659956,151.161729749,2.8034 0 0 0 6.19211 0 0 -0.550062 8.707994
6,,-692.44127223,513.221320326,4.68545 0 0 0 10.48263 0 0 -0.836492 10.449202
7,,-691.043265299,372.137364667,5.52916 0 0 -2.76458 4.788393 0 0 0 14.05576
8,,-689.74269757,122.785433357,5.12337 0 0 -2.561685 4.436969 0 0 0 5.40138
9,,-686.362141453,87.5469196714,4.43395 0 0 -2.216975 3.839913 0 0 0 5.14196
10,,-689.570967763,177.743364389,5.78899 0 0 1.469507 5.599371 0 1.469507 1.133612 5.483418
11,,-688.288833834,143.418434739,5.46394 0 0 1.686537 5.197137 0 1.686537 1.225815 5.050506
12,,-687.75504458,227.451026684,3.2649 0 0 0.289323 6.427422 0 1.443185 1.311341 10.8388
13,,-689.565203493,218.996675553,6.30097 0 0 -1.063145 6.210632 0 -2.618912 -3.105316 5.596214
14,,-686.94194989,251.775748816,2.8686 0 0 0 9.92904 0 0 -4.52171 8.839682
15,,-686.048078786,172.107413051,3.60997 0 0 0.988949 6.080664 0 0.728658 1.766722 7.840522
16,,-687.981208668,129.064115865,5.57232 0 0 -2.416168 5.021243 0 -2.416168 -1.98383 4.612732
17,,-690.147658297,133.258920913,5.41673 0 0 -1.560917 5.186955 0 -1.560917 -2.099792 4.742929
18,,-687.117673784,327.115979306,6.90643 0 0 3.453213 7.050904 0 3.453213 2.142742 6.717433
19,,-688.454668056,285.485190832,7.24951 0 0 -3.087971 6.55895 0 -3.087971 -2.640422 6.003999
